SNo,Rank,Allotted Quota,Allotted Institute,Course,Allotted Category,Candidate Category,Remarks
18054,248063,Self-Financed Merit Seat,"Raja Rajeswari Medical College & Hospital, Bangalore,202, Kambipura, Bengaluru Mysuru High Way,Kengeri Hobli, Bangalore, Karnataka",MBBS,Open,General,Allotted
18055,248141,Self-Financed Merit Seat,"Dr. DY Patil Dental College and Hosp. Pune,Sant Tukaram Nagar, Pimpri, Pune - 411018",BDS,Open,General,Allotted
18056,248158,Self-Financed Merit Seat,"SRM Katt. Dental College and Hospt. Chennai,SRM NAGAR POTHERI KATTANKULATHUR KANCHIPURAM",BDS,Open,ST,Allotted
18057,248169,Self-Financed Merit Seat,"Amrita School of Medicine, Elamkara, Kochi,Amrita School of Medicine, Amrita Institute of Medical Sciences AIMS Ponekkara P.O Kochi 682041",MBBS,Open,General,Allotted
18058,248201,Self-Financed Merit Seat,"Bharati Vidyapeeth University Medical College, Pune,Dhankawadi, Pune-Satara Road, Pune",MBBS,Open,OBC,Allotted
18059,248268,Self-Financed Merit Seat,"Srinivasan Medical College and Hospital,NH-45, TRICHY - CHENNAI TRUNK ROAD, NEAR TOLL PLAZA, SAMAYAPURAM, TIRUCHIRAPPALLI - 621 112.",MBBS,Open,General,Allotted
18060,248274,Self-Financed Merit Seat,"SRM Dental College, Chennai,SRM DENTAL COLLEGE, BHARATHI SALAI, RAMAPURAM, CHENNAI - 89",BDS,Open,General,Allotted
18061,248289,Self-Financed Merit Seat,"Shri B M Patil Medical College, Hospital & Research Centre, Vijayapura (Bijapur,SMT BANGARAMMA SAJJAN CAMPUS B M PATIL ROAD (SOLAPUR ROAD) VIJAYAPURA KARNATAKA",MBBS,Open,OBC,Allotted
18062,248310,Self-Financed Merit Seat,"Kalinga Institute of Medical Sciences, Bhubaneswar,CAMPUS-5 KUSHABHADRA CAMPUS P.O-KIIT BHUBANESWAR",MBBS,Open,General,Allotted
18063,248339,Self-Financed Merit Seat,"Amrita School of Medicine,Mata Amritanandmayi Marg, Sector-88, Faridabad",MBBS,Open,General,Allotted
18064,248393,Self-Financed Merit Seat,"Manipal College of Dental Sce., Manipal,Madhav Nagar, Manipal India",BDS,Open,General,Allotted
18065,248407,Self-Financed Merit Seat,"Institute of Medical Sciences & SUM Hospital, Campus-II, Phulnakhara Bhubaneswar, Odhisha,At-Nakhara, Po-Phulnakhara, Bhubaneswar, Khordha",MBBS,Open,General,Allotted
18066,248408,Self-Financed Merit Seat,"Shri B M Patil Medical College, Hospital & Research Centre, Vijayapura (Bijapur,SMT BANGARAMMA SAJJAN CAMPUS B M PATIL ROAD (SOLAPUR ROAD) VIJAYAPURA KARNATAKA",MBBS,Open,General,Allotted
18067,248439,Self-Financed Merit Seat,"Shri B M Patil Medical College, Hospital & Research Centre, Vijayapura (Bijapur,SMT BANGARAMMA SAJJAN CAMPUS B M PATIL ROAD (SOLAPUR ROAD) VIJAYAPURA KARNATAKA",MBBS,Open,General,Allotted
18068,248468,Self-Financed Merit Seat,"Sri Ramachandra Medical College & Research Institute, Chennai,No. One Ramachandra Nagar, Porur, Chennai.",MBBS,Open,OBC,Allotted
18069,248472,Self-Financed Merit Seat,"Maharishi Markandeshwar Institute Of Medical Sciences & Research, Mullana, Ambala,M.M. INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, MULLANA, AMBALA, HARYANA.",MBBS,Open,General,Allotted
18070,248484,Self-Financed Merit Seat,"K M Shah Dental Collegel, SumanDeep Vidyapeeth Vadodara,Sumandeep Vidyapeeth Piparia Waghodia Vadodara Gujarat",BDS,Open,General,Allotted
18071,248496,Self-Financed Merit Seat,"Manipal College of Dental Science, Mangalore,Light House Hill Road, Mangalore India",BDS,Open,General,Allotted
18072,248503,Self-Financed Merit Seat,"Institute of Medical Sciences & SUM Hospital, Campus-II, Phulnakhara Bhubaneswar, Odhisha,At-Nakhara, Po-Phulnakhara, Bhubaneswar, Khordha",MBBS,Open,General,Allotted
